Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
152,5,Ich lege _____ Buch auf den Tisch.,das,Ich lege das Buch auf den Tisch.,I put the book on the table.,Je pose le livre sur la table.,der/die/das,Accusative,Accusatif,Neuter,Neutre,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,legen → Accusative,legen → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>legen → Accusative<br><br>legen = to lay, to lean, to lie down","der/die/das, Neutre, Accusatif → das<br><br>legen → Accusatif<br><br>legen = poser, se pencher, s'allonger"
153,6,Sie lädt _____ Freunde zur Party ein.,ihre,Sie lädt ihre Freunde zur Party ein.,She invites her friends to the party.,Elle invite ses amis à la fête.,ihr,Accusative,Accusatif,Plural,Pluriel,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)","ihr, Plural, Accusative → ihre","ihr, Pluriel, Accusatif → ihre",Accusative,Accusatif,einladen → Accusative,einladen → Accusatif,,,"ihr, Plural, Accusative → ihre<br><br>einladen → Accusative<br><br>einladen = to invite, to load (something into a container)","ihr, Pluriel, Accusatif → ihre<br><br>einladen → Accusatif<br><br>einladen = inviter, charger (quelque chose dans un conteneur)"
154,4,Wir feiern _____ Geburtstag am Wochenende.,seinen,Wir feiern seinen Geburtstag am Wochenende.,We celebrate his birthday on the weekend.,Nous fêtons son anniversaire le week-end.,sein,Accusative,Accusatif,Masculine,Masculin,feiern,to celebrate,célébrer,"sein, Masculine, Accusative → seinen","sein, Masculin, Accusatif → seinen",Accusative,Accusatif,feiern → Accusative,feiern → Accusatif,,,"sein, Masculine, Accusative → seinen<br><br>feiern → Accusative<br><br>feiern = to celebrate","sein, Masculin, Accusatif → seinen<br><br>feiern → Accusatif<br><br>feiern = célébrer"
155,5,Ich wähle _____ besten Kandidaten für die Stelle.,den,Ich wähle den besten Kandidaten für die Stelle.,I choose the best candidate for the position.,Je choisis le meilleur candidat pour le poste.,der/die/das,Accusative,Accusatif,Masculine,Masculin,wählen,"to choose, to dial (a number), to vote","choisir, composer (un numéro), voter","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,wählen → Accusative,wählen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>wählen → Accusative<br><br>wählen = to choose, to dial (a number), to vote","der/die/das, Masculin, Accusatif → den<br><br>wählen → Accusatif<br><br>wählen = choisir, composer (un numéro), voter"
156,6,Sie hängt _____ Bild an die Wand.,das,Sie hängt das Bild an die Wand.,She hangs the picture on the wall.,Elle accroche le tableau au mur.,der/die/das,Accusative,Accusatif,Neuter,Neutre,hängen,"to hang, to be fond of, depend on","accrocher, aimer, dépendre de","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,hängen → Accusative,hängen → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>hängen → Accusative<br><br>hängen = to hang, to be fond of, depend on","der/die/das, Neutre, Accusatif → das<br><br>hängen → Accusatif<br><br>hängen = accrocher, aimer, dépendre de"
157,4,Wir mieten _____ Wohnung in der Stadt.,eine,Wir mieten eine Wohnung in der Stadt.,We rent an apartment in the city.,Nous louons un appartement en ville.,ein,Accusative,Accusatif,Feminine,Féminin,mieten,"to rent, to hire","louer, embaucher","ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative,Accusatif,mieten → Accusative,mieten → Accusatif,,,"ein, Feminine, Accusative → eine<br><br>mieten → Accusative<br><br>mieten = to rent, to hire","ein, Féminin, Accusatif → eine<br><br>mieten → Accusatif<br><br>mieten = louer, embaucher"
158,5,Er wirft _____ Ball über den Zaun.,den,Er wirft den Ball über den Zaun.,He throws the ball over the fence.,Il lance le ballon par-dessus la clôture.,der/die/das,Accusative,Accusatif,Masculine,Masculin,werfen,to throw,"jeter, lancer","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,werfen → Accusative,werfen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>werfen → Accusative<br><br>werfen = to throw","der/die/das, Masculin, Accusatif → den<br><br>werfen → Accusatif<br><br>werfen = jeter, lancer"
159,6,Sie erkennt _____ Mann sofort.,den,Sie erkennt den Mann sofort.,She recognizes the man immediately.,Elle reconnaît l’homme immédiatement.,der/die/das,Accusative,Accusatif,Masculine,Masculin,erkennen,"to recognize, to realise","reconnaître, réaliser","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,erkennen → Accusative,erkennen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>erkennen → Accusative<br><br>erkennen = to recognize, to realise","der/die/das, Masculin, Accusatif → den<br><br>erkennen → Accusatif<br><br>erkennen = reconnaître, réaliser"
160,4,Wir brechen _____ alte Schloss auf.,das,Wir brechen das alte Schloss auf.,We break open the old lock.,Nous forçons l’ancienne serrure.,der/die/das,Accusative,Accusatif,Neuter,Neutre,brechen,to break,"casser, briser","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,brechen → Accusative,brechen → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>brechen → Accusative<br><br>brechen = to break","der/die/das, Neutre, Accusatif → das<br><br>brechen → Accusatif<br><br>brechen = casser, briser"
161,5,Sie singt _____ altes Lied auf der Bühne.,ein,Sie singt ein altes Lied auf der Bühne.,She sings an old song on the stage.,Elle chante une vieille chanson sur scène.,ein,Accusative,Accusatif,Neuter,Neutre,singen,to sing,chanter,"ein, Neuter, Accusative → ein","ein, Neutre, Accusatif → ein",Accusative,Accusatif,singen → Accusative,singen → Accusatif,,,"ein, Neuter, Accusative → ein<br><br>singen → Accusative<br><br>singen = to sing","ein, Neutre, Accusatif → ein<br><br>singen → Accusatif<br><br>singen = chanter"
162,6,Er besitzt _____ großes Haus am See.,ein,Er besitzt ein großes Haus am See.,He owns a big house by the lake.,Il possède une grande maison au bord du lac.,ein,Accusative,Accusatif,Neuter,Neutre,besitzen,"to own, to possess, to have","posséder, avoir","ein, Neuter, Accusative → ein","ein, Neutre, Accusatif → ein",Accusative,Accusatif,besitzen → Accusative,besitzen → Accusatif,,,"ein, Neuter, Accusative → ein<br><br>besitzen → Accusative<br><br>besitzen = to own, to possess, to have","ein, Neutre, Accusatif → ein<br><br>besitzen → Accusatif<br><br>besitzen = posséder, avoir"
163,4,"Ich drücke _____ Knopf, um das Licht anzuschalten.",den,"Ich drücke den Knopf, um das Licht anzuschalten.",I press the button to turn on the light.,J’appuie sur le bouton pour allumer la lumière.,der/die/das,Accusative,Accusatif,Masculine,Masculin,drücken,"to press, to push","appuyer, pousser","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,drücken → Accusative,drücken → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>drücken → Accusative<br><br>drücken = to press, to push","der/die/das, Masculin, Accusatif → den<br><br>drücken → Accusatif<br><br>drücken = appuyer, pousser"
164,5,Ich putze _____ Küche nach dem Essen.,die,Ich putze die Küche nach dem Essen.,I clean the kitchen after the meal.,Je nettoie la cuisine après le repas.,der/die/das,Accusative,Accusatif,Feminine,Féminin,putzen,"to clean, to rub","nettoyer, frotter","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,putzen → Accusative,putzen → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>putzen → Accusative<br><br>putzen = to clean, to rub","der/die/das, Féminin, Accusatif → die<br><br>putzen → Accusatif<br><br>putzen = nettoyer, frotter"
165,6,Sie veröffentlicht _____ Artikel nächste Woche.,den,Sie veröffentlicht den Artikel nächste Woche.,She publishes the article next week.,Elle publie l’article la semaine prochaine.,der/die/das,Accusative,Accusatif,Masculine,Masculin,veröffentlichen,"to publish, to release","publier, diffuser","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,veröffentlichen → Accusative,veröffentlichen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>veröffentlichen → Accusative<br><br>veröffentlichen = to publish, to release","der/die/das, Masculin, Accusatif → den<br><br>veröffentlichen → Accusatif<br><br>veröffentlichen = publier, diffuser"
166,4,Wir unterstützen _____ Projekt finanziell.,das,Wir unterstützen das Projekt finanziell.,We support the project financially.,Nous soutenons le projet financièrement.,der/die/das,Accusative,Accusatif,Neuter,Neutre,unterstützen,"to support, to provide help","soutenir, apporter de l'aide","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,unterstützen → Accusative,unterstützen → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>unterstützen → Accusative<br><br>unterstützen = to support, to provide help","der/die/das, Neutre, Accusatif → das<br><br>unterstützen → Accusatif<br><br>unterstützen = soutenir, apporter de l'aide"
167,7,Er gleicht _____ Vater in vielen Eigenschaften.,seinem,Er gleicht seinem Vater in vielen Eigenschaften.,He resembles his father in many traits.,Il ressemble à son père sur de nombreux points.,sein,Dative,Datif,Masculine,Masculin,gleichen,"to equal, to match, to resemble","égaler, ressembler","sein, Masculine, Dative → seinem","sein, Masculin, Datif → seinem",Dative,Datif,gleichen → Dative,gleichen → Datif,,,"sein, Masculine, Dative → seinem<br><br>gleichen → Dative<br><br>gleichen = to equal, to match, to resemble","sein, Masculin, Datif → seinem<br><br>gleichen → Datif<br><br>gleichen = égaler, ressembler"
168,7,Die Situation gleicht _____ schlechten Traum.,einem,Die Situation gleicht einem schlechten Traum.,The situation resembles a bad dream.,La situation ressemble à un mauvais rêve.,ein,Dative,Datif,Masculine,Masculin,gleichen,"to equal, to match, to resemble","égaler, ressembler","ein, Masculine, Dative → einem","ein, Masculin, Datif → einem",Dative,Datif,gleichen → Dative,gleichen → Datif,,,"ein, Masculine, Dative → einem<br><br>gleichen → Dative<br><br>gleichen = to equal, to match, to resemble","ein, Masculin, Datif → einem<br><br>gleichen → Datif<br><br>gleichen = égaler, ressembler"
169,7,Ihr Stil gleicht _____ ihrer Schwester sehr.,dem,Ihr Stil gleicht dem ihrer Schwester sehr.,Her style closely resembles that of her sister.,Son style ressemble beaucoup à celui de sa sœur.,der/die/das,Dative,Datif,Masculine,Masculin,gleichen,"to equal, to match, to resemble","égaler, ressembler","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,gleichen → Dative,gleichen → Datif,,,"der/die/das, Masculine, Dative → dem<br><br>gleichen → Dative<br><br>gleichen = to equal, to match, to resemble","der/die/das, Masculin, Datif → dem<br><br>gleichen → Datif<br><br>gleichen = égaler, ressembler"
170,8,Das Ergebnis entspricht nicht _____ Erwartungen.,meinen,Das Ergebnis entspricht nicht meinen Erwartungen.,The result does not meet my expectations.,Le résultat ne correspond pas à mes attentes.,mein,Dative,Datif,Neuter,Neutre,entsprechen,"to correspond, to match, to comply with","correspondre, égaler, se conformer à","mein, Neuter, Dative → meinen","mein, Neutre, Datif → meinen",Dative,Datif,entsprechen → Dative,entsprechen → Datif,,,"mein, Neuter, Dative → meinen<br><br>entsprechen → Dative<br><br>entsprechen = to correspond, to match, to comply with","mein, Neutre, Datif → meinen<br><br>entsprechen → Datif<br><br>entsprechen = correspondre, égaler, se conformer à"
171,8,Die Beschreibung entspricht genau _____ Realität.,der,Die Beschreibung entspricht genau der Realität.,The description exactly matches reality.,La description correspond exactement à la réalité.,der/die/das,Dative,Datif,Feminine,Féminin,entsprechen,"to correspond, to match, to comply with","correspondre, égaler, se conformer à","der/die/das, Feminine, Dative → der","der/die/das, Féminin, Datif → der",Dative,Datif,entsprechen → Dative,entsprechen → Datif,,,"der/die/das, Feminine, Dative → der<br><br>entsprechen → Dative<br><br>entsprechen = to correspond, to match, to comply with","der/die/das, Féminin, Datif → der<br><br>entsprechen → Datif<br><br>entsprechen = correspondre, égaler, se conformer à"
172,8,Sein Verhalten entspricht _____ Regeln der Firma.,den,Sein Verhalten entspricht den Regeln der Firma.,His behavior complies with the company’s rules.,Son comportement correspond aux règles de l’entreprise.,der/die/das,Dative,Datif,Plural,Pluriel,entsprechen,"to correspond, to match, to comply with","correspondre, égaler, se conformer à","der/die/das, Plural, Dative → den","der/die/das, Pluriel, Datif → den",Dative,Datif,entsprechen → Dative,entsprechen → Datif,,,"der/die/das, Plural, Dative → den<br><br>entsprechen → Dative<br><br>entsprechen = to correspond, to match, to comply with","der/die/das, Pluriel, Datif → den<br><br>entsprechen → Datif<br><br>entsprechen = correspondre, égaler, se conformer à"
173,9,Das Projekt gelingt _____ trotz der Schwierigkeiten.,mir,Das Projekt gelingt mir trotz der Schwierigkeiten.,The project succeeds for me despite the difficulties.,Le projet me réussit malgré les difficultés.,ich,Dative,Datif,,,gelingen,"to succeed, to be successful, to work out","réussir, s'entraîner","ich, Dative → mir","ich, Datif → mir",Dative,Datif,gelingen → Dative,gelingen → Datif,,,"ich, Dative → mir<br><br>gelingen → Dative<br><br>gelingen = to succeed, to be successful, to work out","ich, Datif → mir<br><br>gelingen → Datif<br><br>gelingen = réussir, s'entraîner"
