Nr,exercise,question,answer,german,english,french,adjective,gender_english,gender_french,case_english,case_french,article,article_english,article_french
520,19,wegen keiner _____ Mutter,netten,wegen keiner netten Mutter,,,nett,Feminine,Féminin,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
521,19,wegen keines _____ Vaters,netten,wegen keines netten Vater,,,nett,Masculine,Masculin,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
522,19,wegen keines _____ Kind,netten,wegen keines netten Kind,,,nett,Neuter,Neutre,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
523,19,wegen keiner _____ Eltern,netten,wegen keiner netten Eltern,,,nett,Plural,Pluriel,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
524,19,keine _____ Mutter,nette,keine nette Mutter,,,nett,Feminine,Féminin,Nominative,Nominatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
525,19,kein _____ Vater,netter,kein netter Vater,,,nett,Masculine,Masculin,Nominative,Nominatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
526,19,kein _____ Kind,nettes,kein nettes Kind,,,nett,Neuter,Neutre,Nominative,Nominatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
527,19,keine _____ Eltern,netten,keine netten Eltern,,,nett,Plural,Pluriel,Nominative,Nominatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
528,20,Ich finde keine _____ Wohnung in der Stadt.,neue,Ich finde keine neue Wohnung in der Stadt.,I can't find a new apartment in the city.,Je ne trouve pas de nouvel appartement en ville.,neu,Feminine,Féminin,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
529,20,Er kennt keine _____ Freundin aus der Schule.,alte,Er kennt keine alte Freundin aus der Schule.,He doesn't know any old friends from school.,Il ne connaît aucun ancien ami d'école.,alt,Feminine,Féminin,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
530,20,Sie trägt keine _____ Tasche zum Einkaufen.,große,Sie trägt keine große Tasche zum Einkaufen.,She doesn't carry a big bag for shopping.,Elle ne porte pas de gros sac pour faire ses courses.,groß,Feminine,Féminin,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
531,20,Ich habe keinen _____ Hund gesehen.,neuen,Ich habe keinen neuen Hund gesehen.,I didn't see a new dog.,Je n'ai pas vu de nouveau chien.,neu,Masculine,Masculin,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
532,20,Er kennt keinen _____ Mann in der Stadt.,alten,Er kennt keinen alten Mann in der Stadt.,He doesn't know any old man in town.,Il ne connaît aucun vieil homme en ville.,alt,Masculine,Masculin,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
533,20,Sie hört keinen _____ Vogel singen.,großen,Sie hört keinen großen Vogel singen.,She doesn't hear any big bird singing.,Elle n'entend aucun gros oiseau chanter.,groß,Masculine,Masculin,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
534,20,Ich kaufe kein _____ Auto dieses Jahr.,neues,Ich kaufe kein neues Auto dieses Jahr.,I'm not buying a new car this year.,Je n'achèterai pas de nouvelle voiture cette année.,neu,Neuter,Neutre,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
535,20,Er sieht kein _____ Haus am Horizont.,altes,Er sieht kein altes Haus am Horizont.,He doesn't see an old house on the horizon.,Il ne voit pas de vieille maison à l’horizon.,alt,Neuter,Neutre,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
536,20,Sie öffnet kein _____ Fenster im Zimmer.,großes,Sie öffnet kein großes Fenster im Zimmer.,She doesn't open a large window in the room.,Elle n'ouvre pas une grande fenêtre dans la pièce.,groß,Neuter,Neutre,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
537,20,Ich sehe keine _____ Bücher auf dem Tisch.,neuen,Ich sehe keine neuen Bücher auf dem Tisch.,I don't see any new books on the table.,Je ne vois aucun nouveau livre sur la table.,neu,Plural,Pluriel,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
538,20,Er kennt keine _____ Freunde in der Stadt.,alten,Er kennt keine alten Freunde in der Stadt.,He doesn't know any old friends in the city.,Il ne connaît aucun vieux ami en ville.,alt,Plural,Pluriel,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
539,20,Wir bringen keine _____ Taschen in den Raum.,großen,Wir bringen keine großen Taschen in den Raum.,We do not bring large bags into the room.,Nous n'apportons pas de gros sacs dans la chambre.,groß,Plural,Pluriel,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
540,20,Ich helfe keiner _____ Freundin bei den Hausaufgaben.,neuen,Ich helfe keiner neuen Freundin bei den Hausaufgaben.,I don't help a new friend with her homework.,Je n'aide pas une nouvelle amie avec ses devoirs.,neu,Feminine,Féminin,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
541,20,Er gibt keiner _____ Freundin ein Geschenk.,alten,Er gibt keiner alten Freundin ein Geschenk.,He doesn't give a present to an old girlfriend.,Il ne fait pas de cadeau à une ancienne petite amie.,alt,Feminine,Féminin,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
542,20,Du vertraust keiner _____ Tasche deine Wertsachen.,großen,Du vertraust keiner großen Tasche deine Wertsachen.,You don't trust a big bag with your valuables.,Vous ne confiez pas vos objets de valeur à un gros sac.,groß,Feminine,Féminin,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
543,20,Ich helfe keinem _____ Freund mit den Aufgaben.,neuen,Ich helfe keinem neuen Freund mit den Aufgaben.,I don't help a new friend with their chores.,Je n'aide pas un nouvel ami dans ses tâches ménagères.,neu,Masculine,Masculin,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
544,20,Er gibt keinem _____ Mann Geld.,alten,Er gibt keinem alten Mann Geld.,He doesn't give any old man money.,Il ne donne de l'argent à aucun vieil homme.,alt,Masculine,Masculin,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
545,20,Wir erzählen keinem _____ Bruder die Neuigkeiten.,großen,Wir erzählen keinem großen Bruder die Neuigkeiten.,We don't tell any big brother the news.,Nous ne disons la nouvelle à aucun grand frère.,groß,Masculine,Masculin,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
546,20,Ich gebe keinem _____ Auto eine Chance.,neuen,Ich gebe keinem neuen Auto eine Chance.,I don't give any new car a chance.,Je ne donne aucune chance à aucune nouvelle voiture.,neu,Neuter,Neutre,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
547,20,Er hilft keinem _____ Haus bei der Renovierung.,alten,Er hilft keinem alten Haus bei der Renovierung.,He doesn't help renovate an old house.,Il n'aide pas à rénover une vieille maison.,alt,Neuter,Neutre,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
548,20,Sie widmet keinem _____ Fenster ihre Aufmerksamkeit.,großen,Sie widmet keinem großen Fenster ihre Aufmerksamkeit.,She doesn't pay attention to any large window.,Elle ne fait attention à aucune grande fenêtre.,groß,Neuter,Neutre,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
549,20,Ich gebe keinen _____ Büchern eine Chance.,neuen,Ich gebe keinen neuen Büchern eine Chance.,I don't give new books a chance.,Je ne donne aucune chance aux nouveaux livres.,neu,Plural,Pluriel,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
550,20,Er hilft keinen _____ Freunden bei der Arbeit.,alten,Er hilft keinen alten Freunden bei der Arbeit.,He doesn't help old friends with their work.,Il n’aide pas ses vieux amis dans leur travail.,alt,Plural,Pluriel,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
551,20,Wir danken keinen _____ Taschen für die Hilfe.,großen,Wir danken keinen großen Taschen für die Hilfe.,We don't thank any big pockets for the help.,Nous ne remercions pas les grandes fortunes pour leur aide.,groß,Plural,Pluriel,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
552,20,Die Farbe keiner _____ Tasche gefällt mir.,neuen,Die Farbe keiner neuen Tasche gefällt mir.,I don't like the color of any new bag.,Je n'aime pas la couleur d'aucun nouveau sac.,neu,Feminine,Féminin,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
553,20,Die Meinung keiner _____ Freundin war hilfreich.,alten,Die Meinung keiner alten Freundin war hilfreich.,The opinion of no old friend was helpful.,L’avis d’aucun vieil ami n’a été utile.,alt,Feminine,Féminin,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
554,20,Die Größe keiner _____ Tasche war ausreichend.,großen,Die Größe keiner großen Tasche war ausreichend.,The size of any large bag was not sufficient.,La taille d’un grand sac n’était pas suffisante.,groß,Feminine,Féminin,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
555,20,Die Idee keines _____ Freundes war überzeugend.,neuen,Die Idee keines neuen Freundes war überzeugend.,The idea of no new friend was convincing.,L’idée de ne pas avoir de nouvel ami était convaincante.,neu,Masculine,Masculin,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
556,20,Die Meinung keines _____ Mannes wurde gehört.,alten,Die Meinung keines alten Mannes wurde gehört.,No old man's opinion was heard.,L’opinion d’aucun vieil homme n’a été entendue.,alt,Masculine,Masculin,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
557,20,Die Entscheidung keines _____ Bruders war relevant.,großen,Die Entscheidung keines großen Bruders war relevant.,No big brother's decision was relevant.,Aucune décision du grand frère n’était pertinente.,groß,Masculine,Masculin,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
558,20,Die Farbe keines _____ Autos ist so schön.,neuen,Die Farbe keines neuen Autos ist so schön.,No new car's color is as beautiful.,Aucune couleur de voiture neuve n’est aussi belle.,neu,Neuter,Neutre,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
559,20,Die Geschichte keines _____ Hauses wurde erzählt.,alten,Die Geschichte keines alten Hauses wurde erzählt.,The story of no old house was told.,L'histoire d'aucune vieille maison n'a été racontée.,alt,Neuter,Neutre,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
560,20,Die Größe keines _____ Fensters war beeindruckend.,großen,Die Größe keines großen Fensters war beeindruckend.,The size of no large window was impressive.,La taille de cette grande fenêtre était impressionnante.,groß,Neuter,Neutre,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
561,20,Die Qualität keiner _____ Bücher ist zufriedenstellend.,neuen,Die Qualität keiner neuen Bücher ist zufriedenstellend.,The quality of no new books is satisfactory.,La qualité des nouveaux livres n'est pas satisfaisante.,neu,Plural,Pluriel,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
562,20,Die Geschichten keiner _____ Freunde wurden erzählt.,alten,Die Geschichten keiner alten Freunde wurden erzählt.,The stories of no old friends were told.,Les histoires des vieux amis n'ont pas été racontées.,alt,Plural,Pluriel,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
563,20,Die Größe keiner _____ Taschen ist praktisch.,großen,Die Größe keiner großen Taschen ist praktisch.,The size of no large pockets is practical.,La taille sans grandes poches est pratique.,groß,Plural,Pluriel,Genitive,Génitif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
564,20,Keine _____ Wohnung ist verfügbar.,neue,Keine neue Wohnung ist verfügbar.,No new apartment is available.,Aucun appartement neuf n'est disponible.,neu,Feminine,Féminin,Nominative,Nominatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
565,20,Keine _____ Freundin hat angerufen.,alte,Keine alte Freundin hat angerufen.,No old friend called.,Aucun vieil ami n’a appelé.,alt,Feminine,Féminin,Nominative,Nominatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
