Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,,,
859,26,"Der Film, _____ im Kino läuft, ist interessant.",der,"Der Film, der im Kino läuft, ist interessant.",The film playing in the cinema is interesting.,Le film qui passe au cinéma est intéressant.,,Nominative,Nominatif,Masculine,Masculin,,,
860,26,"Der Computer, _____ neu ist, funktioniert gut.",der,"Der Computer, der neu ist, funktioniert gut.","The computer, which is new, works well.","L'ordinateur, qui est neuf, fonctionne bien.",,Nominative,Nominatif,Masculine,Masculin,,,
861,27,"Die Aufgabe, _____ er erledigt hat, war schwierig.",die,"Die Aufgabe, die er erledigt hat, war schwierig.",The task he completed was difficult.,La tâche qu’il a accomplie était difficile.,,Accusative,Accusatif,Feminine,Féminin,,,
862,27,"Der Computer, _____ ich gekauft habe, ist schnell.",den,"Der Computer, den ich gekauft habe, ist schnell.",The computer I bought is fast.,L'ordinateur que j'ai acheté est rapide.,,Accusative,Accusatif,Masculine,Masculin,,,
863,27,"Die Musik, _____ du hörst, gefällt mir.",die,"Die Musik, die du hörst, gefällt mir.",I like the music you listen to.,J'aime la musique que tu écoutes.,,Accusative,Accusatif,Feminine,Féminin,,,
864,27,"Das Essen, _____ wir bestellt haben, ist lecker.",das,"Das Essen, das wir bestellt haben, ist lecker.",The food we ordered is delicious.,La nourriture que nous avons commandée est délicieuse.,,Accusative,Accusatif,Neuter,Neutre,,,
865,27,"Die Leute, _____ ich getroffen habe, waren freundlich.",die,"Die Leute, die ich getroffen habe, waren freundlich.",The people I met were friendly.,Les gens que j'ai rencontré étaient sympathiques.,,Accusative,Accusatif,Plural,Pluriel,,,
866,27,"Der Zug, _____ wir verpasst haben, fährt später.",den,"Der Zug, den wir verpasst haben, fährt später.",The train we missed leaves later.,Le train que nous avons manqué part plus tard.,,Accusative,Accusatif,Masculine,Masculin,,,
867,27,"Das Hotel, _____ sie gefunden haben, ist billig.",das,"Das Hotel, das sie gefunden haben, ist billig.",The hotel they found is cheap.,L'hôtel qu'ils ont trouvé est bon marché.,,Accusative,Accusatif,Neuter,Neutre,,,
868,27,"Die Arbeit, _____ sie gefunden hat, ist gut bezahlt.",die,"Die Arbeit, die sie gefunden hat, ist gut bezahlt.",The job she found is well paid.,Le travail qu’elle a trouvé est bien rémunéré.,,Accusative,Accusatif,Feminine,Féminin,,,
869,27,"Das Wetter, _____ wir hatten, war schlecht.",das,"Das Wetter, das wir hatten, war schlecht.",The weather we had was bad.,Le temps que nous avons eu était mauvais.,,Accusative,Accusatif,Neuter,Neutre,,,
870,27,"Die Ferien, _____ sie geplant haben, sind kurz.",die,"Die Ferien, die sie geplant haben, sind kurz.",The vacation they have planned is short.,Les vacances qu’ils ont prévues sont courtes.,,Accusative,Accusatif,Plural,Pluriel,,,
871,27,"Der Urlaub, _____ er macht, ist erholsam.",den,"Der Urlaub, den er macht, ist erholsam.",The vacation he takes is relaxing.,Les vacances qu'il prend sont relaxantes.,,Accusative,Accusatif,Masculine,Masculin,,,
872,27,"Das Geschenk, _____ du bekommen hast, ist nützlich.",das,"Das Geschenk, das du bekommen hast, ist nützlich.",The gift you received is useful.,Le cadeau que vous avez reçu est utile.,,Accusative,Accusatif,Neuter,Neutre,,,
873,27,"Die Party, _____ sie organisiert haben, war super.",die,"Die Party, die sie organisiert haben, war super.",The party they organized was great.,La fête qu'ils ont organisée était géniale.,,Accusative,Accusatif,Feminine,Féminin,,,
874,27,"Die Firma, _____ wir die Rechnung geschickt haben, ist groß.",an die,"Die Firma, an die wir die Rechnung geschickt haben, ist groß.",The company we sent the invoice to is large.,L'entreprise à laquelle nous avons envoyé la facture est grande.,,Accusative,Accusatif,Feminine,Féminin,,,
875,27,"Die Lampe, _____ ich eine neue Birne eingesetzt habe, leuchtet wieder.",in die,"Die Lampe, in die ich eine neue Birne eingesetzt habe, leuchtet wieder.",The lamp into which I put a new bulb lights up again.,La lampe dans laquelle j'ai mis une nouvelle ampoule s'allume à nouveau.,,Accusative,Accusatif,Feminine,Féminin,,,
876,27,"Der Tisch, _____ wir uns setzen, ist gedeckt.",an den,"Der Tisch, an den wir uns setzen, ist gedeckt.",The table at which we sit is set.,La table à laquelle nous sommes assis est dressée.,,Accusative,Accusatif,Masculine,Masculin,,,
877,27,"Die Kinder, _____ wir Geschenke gegeben haben, haben sich gefreut.",denen,"Die Kinder, denen wir Geschenke gegeben haben, haben sich gefreut.",The children to whom we gave gifts were happy.,Les enfants à qui nous avons offert des cadeaux étaient heureux.,,Dative,Datif,Plural,Pluriel,,,
878,27,"Das Projekt, _____ wir arbeiten, ist wichtig.",an dem/woran,"Das Projekt, an dem wir arbeiten, ist wichtig.",The project we are working on is important.,Le projet sur lequel nous travaillons est important.,,Dative,Datif,Neuter,Neutre,,,
879,27,"Das Problem, _____ wir uns beschäftigen, ist kompliziert.",mit dem/womit,"Das Problem, mit dem wir uns beschäftigen, ist kompliziert.",The problem we are dealing with is complicated.,Le problème auquel nous sommes confrontés est complexe.,,Dative,Datif,Neuter,Neutre,,,
880,27,"Der Computer, _____ ich arbeite, ist neu.",mit dem/womit,"Der Computer, mit dem ich arbeite, ist neu.",The computer I'm working with is new.,L'ordinateur avec lequel je travaille est neuf.,,Dative,Datif,Masculine,Masculin,,,
881,27,"Das Auto, _____ er fährt, ist schnell.",mit dem/womit,"Das Auto, mit dem er fährt, ist schnell.",The car he is driving is fast.,La voiture qu'il conduit est rapide.,,Dative,Datif,Neuter,Neutre,,,
882,27,"Der Zug, _____ wir fahren, ist pünktlich.",mit dem/womit,"Der Zug, mit dem wir fahren, ist pünktlich.",The train we are taking is on time.,Le train que nous prenons est à l'heure.,,Dative,Datif,Masculine,Masculin,,,
883,27,"Das Hotel, _____ wir übernachtet haben, war komfortabel.",in dem,"Das Hotel, in dem wir übernachtet haben, war komfortabel.",The hotel we stayed in was comfortable.,L'hôtel dans lequel nous avons séjourné était confortable.,,Dative,Datif,Neuter,Neutre,,,
884,27,"Die Stadt, _____ ich wohne, gefällt mir gut.",in der,"Die Stadt, in der ich wohne, gefällt mir gut.",I like the city I live in.,J'aime la ville dans laquelle je vis.,,Dative,Datif,Feminine,Féminin,,,
885,27,"Das Land, _____ er lebt, ist schön.",in dem,"Das Land, in dem er lebt, ist schön.",The country he lives in is beautiful.,Le pays dans lequel il vit est magnifique.,,Dative,Datif,Neuter,Neutre,,,
886,27,"Der Urlaub, _____ sie erzählt hat, war interessant.",von dem/wovon,"Der Urlaub, von dem sie erzählt hat, war interessant.",The vacation she talked about was interesting.,Les vacances dont elle parlait étaient intéressantes.,,Dative,Datif,Masculine,Masculin,,,
887,27,"Der Urlaub, _____ Dauer zwei Wochen beträgt, ist lang.",dessen,"Der Urlaub, dessen Dauer zwei Wochen beträgt, ist lang.","The vacation, which lasts two weeks, is long.","Les vacances, qui durent deux semaines, sont longues.",,Genitive,Génitif,Masculine,Masculin,,,
888,27,"Das Hotel, _____ Zimmer modern sind, ist komfortabel.",dessen,"Das Hotel, dessen Zimmer modern sind, ist komfortabel.","The hotel, whose rooms are modern, is comfortable.","L'hôtel, dont les chambres sont modernes, est confortable.",,Genitive,Génitif,Neuter,Neutre,,,
889,27,"Die Stadt, _____ Einwohner freundlich sind, gefällt mir.",deren,"Die Stadt, deren Einwohner freundlich sind, gefällt mir.",I like the city whose inhabitants are friendly.,J'aime la ville dont les habitants sont sympathiques.,,Genitive,Génitif,Feminine,Féminin,,,
890,27,"Das Land, _____ Landschaft schön ist, besuche ich gerne.",dessen,"Das Land, dessen Landschaft schön ist, besuche ich gerne.",I like to visit the country whose landscape is beautiful.,J'aime visiter les pays dont le paysage est magnifique.,,Genitive,Génitif,Neuter,Neutre,,,
891,27,"Die Musik, _____ Melodie eingängig ist, gefällt vielen.",deren,"Die Musik, deren Melodie eingängig ist, gefällt vielen.","Many people like the music, whose melody is catchy.",Beaucoup de gens aiment la musique dont la mélodie est entraînante.,,Genitive,Génitif,Feminine,Féminin,,,
892,27,"Der Sport, _____ Regeln kompliziert sind, ist schwer zu verstehen.",dessen,"Der Sport, dessen Regeln kompliziert sind, ist schwer zu verstehen.","The sport, whose rules are complicated, is difficult to understand.","Ce sport, dont les règles sont compliquées, est difficile à comprendre.",,Genitive,Génitif,Masculine,Masculin,,,
893,27,"Die Arbeit, _____ Arbeitszeiten flexibel sind, ist attraktiv.",deren,"Die Arbeit, deren Arbeitszeiten flexibel sind, ist attraktiv.",Work with flexible working hours is attractive.,Travailler avec des horaires flexibles est attrayant.,,Genitive,Génitif,Feminine,Féminin,,,
894,27,"Das Wetter, _____ Vorhersage schlecht ist, stört mich.",dessen,"Das Wetter, dessen Vorhersage schlecht ist, stört mich.",The bad weather forecast bothers me.,Les mauvaises prévisions météo me dérangent.,,Genitive,Génitif,Neuter,Neutre,,,
895,27,"Das Geschenk, _____ Verpackung schön ist, gefällt mir.",dessen,"Das Geschenk, dessen Verpackung schön ist, gefällt mir.","I like the gift, the packaging is beautiful.","J'aime le cadeau, l'emballage est magnifique.",,Genitive,Génitif,Neuter,Neutre,,,
896,27,"Die Party, _____ Musik gut war, hat mir gefallen.",deren,"Die Party, deren Musik gut war, hat mir gefallen.",I enjoyed the party and the music was good.,J'ai apprécié la fête et la musique était bonne.,,Genitive,Génitif,Feminine,Féminin,,,
897,27,"Das Essen, _____ gut schmeckt, ist teuer.",das,"Das Essen, das gut schmeckt, ist teuer.",The food that tastes good is expensive.,La nourriture qui a bon goût est chère.,,Nominative,Nominatif,Neuter,Neutre,,,
898,27,"Die Leute, _____ hier wohnen, sind nett.",die,"Die Leute, die hier wohnen, sind nett.",The people who live here are nice.,Les gens qui vivent ici sont gentils.,,Nominative,Nominatif,Plural,Pluriel,,,
899,27,"Der Zug, _____ Verspätung hat, kommt bald an.",der,"Der Zug, der Verspätung hat, kommt bald an.",The delayed train will arrive soon.,Le train retardé arrivera bientôt.,,Nominative,Nominatif,Masculine,Masculin,,,
900,28,"Das ist das Dorf, _____ ich geboren wurde.",wo/in dem,"Das ist das Dorf, wo ich geboren wurde.
<br>
<br>
Das ist das Dorf, in dem ich geboren wurde.",This is the village where I was born.,C'est le village où je suis né.,,,,,,,,
901,28,"Das ist der Park, _____ die Kinder spielen.",wo/in dem,"Das ist der Park, wo die Kinder spielen.
<br>
<br>
Das ist der Park, in dem die Kinder spielen.",This is the park where the children play.,C'est le parc où les enfants jouent.,,,,,,,,
902,28,"Die Stadt, _____ ich meinen Urlaub verbracht habe, war wunderschön.",wo/in die,"Die Stadt, wo ich meinen Urlaub verbracht habe, war wunderschön.
<br>
<br>
Die Stadt, in die ich meinen Urlaub verbracht habe, war wunderschön.",The city where I spent my vacation was beautiful.,La ville où j'ai passé mes vacances était magnifique.,,,,,,,,
903,28,"Das Café, _____ wir unseren ersten Kaffee getrunken haben, war gemütlich.",wo/in das,"Das Café, wo wir unseren ersten Kaffee getrunken haben, war gemütlich.
<br>
<br>
Das Café, in das wir unseren ersten Kaffee getrunken haben, war gemütlich.",The café where we had our first coffee was cozy.,Le café où nous avons pris notre premier café était chaleureux.,,,,,,,,
904,28,"Das Hotel, _____ wir übernachtet haben, hatte ein tolles Frühstück.",wo/in dem,"Das Hotel, wo wir übernachtet haben, hatte ein tolles Frühstück.
<br>
<br>
Das Hotel, in dem wir übernachtet haben, hatte ein tolles Frühstück.",The hotel where we stayed had a great breakfast.,L'hôtel où nous avons séjourné proposait un excellent petit-déjeuner.,,,,,,,,
905,28,"Die Wohnung, _____ ich seit drei Jahren wohne, ist sehr ruhig.",wo/in der,"Die Wohnung, wo ich seit drei Jahren wohne, ist sehr ruhig.
<br>
<br>
Die Wohnung, in der ich seit drei Jahren wohne, ist sehr ruhig.",The apartment where I've lived for three years is very quiet.,L'appartement où je vis depuis trois ans est très calme.,,,,,,,,
906,28,"Die Straße, _____ Name der berühmte Schriftsteller erwähnt wird, ist in der Altstadt.",wo der/in deren,"Die Straße, wo der Name des berühmten Schriftstellers erwähnt wird, ist in der Altstadt.
<br>
<br>
Die Straße, in deren Name der berühmte Schriftsteller erwähnt wird, ist in der Altstadt.",The street in which the famous writer's name is mentioned is in the Old Town.,La rue dans laquelle le nom du célèbre écrivain est mentionné se trouve dans la vieille ville.,,,,,,,,
907,28,"Der Raum, _____ Decke repariert werden muss, ist geschlossen.",wo die/in dessen,"Der Raum, wo die Decke repariert werden muss, ist geschlossen.
<br>
<br>
Der Raum, in dessen Decke repariert werden muss, ist geschlossen.",The room where the ceiling needs to be repaired is closed.,La pièce où le plafond doit être réparé est fermée.,,,,,,,,
908,28,"Das ist das Dorf, _____ ich gezogen bin.",wohin/in das,"Das ist das Dorf, wohin ich gezogen bin.
<br>
<br>
Das ist das Dorf, in das ich gezogen bin.",This is the village I moved to.,C'est le village dans lequel j'ai déménagé.,,,,,,,,
909,28,"Das ist der Park, _____ die Kinder laufen.",wohin/in den,"Das ist der Park, wohin die Kinder laufen.
<br>
<br>
Das ist der Park, in den die Kinder laufen.",That's the park the children run to.,C'est le parc où les enfants vont courir.,,,,,,,,
910,28,"Die Stadt, _____ ich meinen Freund eingeladen habe, ist wunderschön.",wohin/in die,"Die Stadt, wohin ich meinen Freund eingeladen habe, ist wunderschön.
<br>
<br>
Die Stadt, in die ich meinen Freund eingeladen habe, ist wunderschön.",The city I invited my boyfriend to is beautiful.,La ville dans laquelle j'ai invité mon copain est magnifique.,,,,,,,,
911,28,"Das Café, _____ wir später gehen wollen, liegt in der Altstadt.",wohin/in das,"Das Café, wohin wir später gehen wollen, liegt in der Altstadt.
<br>
<br>
Das Café, in das wir später gehen wollen, liegt in der Altstadt.",The café we want to go to later is in the old town.,Le café où nous voulons aller plus tard est dans la vieille ville.,,,,,,,,
912,28,"Das Hotel, _____ wir unsere Koffer gebracht haben, ist sehr luxuriös.",wohin/in das,"Das Hotel, wohin wir unsere Koffer gebracht haben, ist sehr luxuriös.
<br>
<br>
Das Hotel, in das wir unsere Koffer gebracht haben, ist sehr luxuriös.",The hotel where we took our suitcases is very luxurious.,L'hôtel où nous avons déposé nos valises est très luxueux.,,,,,,,,
913,28,"Die Wohnung, _____ ich meine Bücher gebracht habe, ist neu renoviert.",wohin/in die,"Die Wohnung, wohin ich meine Bücher gebracht habe, ist neu renoviert.
<br>
<br>
Die Wohnung, in die ich meine Bücher gebracht habe, ist neu renoviert.",The apartment where I brought my books has been newly renovated.,L'appartement où j'ai apporté mes livres a été récemment rénové.,,,,,,,,
